model,model_label,sampler,condition,elpd_loo,se,p_loo
MA_nonessential,MA $\alpha$,Pathfinder,WT,59.053843875948154,3.3346643096824646,3.7096890261416675
MM_nonessential,MM $\alpha$,Pathfinder,WT,56.36187423054643,2.854795762110827,8.953315200278901
MA_nonessential_phos,MA $\beta$,Pathfinder,WT,50.44050839455043,4.527960337345171,2.8964770743212327
MM_nonessential_phos,MM $\beta$,Pathfinder,WT,62.880569393416884,2.352068590272111,5.306244332809278
MA_nonessential,MA $\alpha$,Pathfinder,LKB1_KO,55.70325960091779,5.722893563153194,6.92965790495365
MM_nonessential,MM $\alpha$,Pathfinder,LKB1_KO,-3.203405704532254,11.328804562719478,58.036968992162464
MA_nonessential_phos,MA $\beta$,Pathfinder,LKB1_KO,52.5816998858678,6.6899722900394565,4.502206895561095
MM_nonessential_phos,MM $\beta$,Pathfinder,LKB1_KO,23.79835720449258,8.698970627968675,27.581562630944337
