model,model_label,sampler,condition,elpd_loo,se,p_loo
MA_nonessential,MA $\alpha$,Pathfinder,WT,31.617137076797576,10.806117645865712,25.422462668698017
MM_nonessential,MM $\alpha$,Pathfinder,WT,34.37188101814004,10.106021818183972,14.9429567934908
MA_nonessential_phos,MA $\beta$,Pathfinder,WT,55.5475467917713,5.661869739789381,11.694030071679443
MA_nonessential,MA $\alpha$,Pathfinder,LKB1_KO,48.979902433742055,5.41776090976805,12.643990819942928
MM_nonessential,MM $\alpha$,Pathfinder,LKB1_KO,-1.540436521242154,11.358139983423818,36.366250114368526
MA_nonessential_phos,MA $\beta$,Pathfinder,LKB1_KO,41.20357049367168,5.730451032224745,19.2806207549485
