,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kOffAMP,0.0,0.0,989.0,888.0,
kOffADP,0.0,0.0,918.0,1023.0,
kOffATP,0.0,0.0,545.0,842.0,
kCaMKK,0.0,0.0,710.0,751.0,
KmCaMKK,0.004,0.003,892.0,943.0,
betaCaMKK,0.008,0.004,515.0,564.0,
kLKB1,0.0,0.0,1011.0,904.0,
KmLKB1,0.103,0.073,930.0,915.0,
betaLKB1,0.029,0.016,995.0,841.0,
kPP,0.001,0.001,777.0,906.0,
KmPP,0.006,0.005,877.0,811.0,
betaPP,0.006,0.004,592.0,738.0,
betaAMP,0.08,0.057,1012.0,850.0,
