,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kOffAMP,0.001,0.0,981.0,978.0,
kOffADP,0.0,0.0,970.0,944.0,
kOffATP,0.0,0.0,901.0,983.0,
kCaMKK,0.0,0.0,962.0,849.0,
KmCaMKK,0.019,0.004,816.0,937.0,
kLKB1,0.0,0.0,937.0,944.0,
KmLKB1,0.168,0.043,912.0,934.0,
alphaLKB1,0.005,0.001,868.0,741.0,
kPP,0.001,0.001,948.0,790.0,
KmPP,0.005,0.002,795.0,815.0,
alphaPP,0.062,0.016,938.0,901.0,
betaAMP,0.426,0.151,959.0,34.0,
